Entidad,Municipio,CP,Year,Num_Transacciones,Precio_x_m2
Guanajuato,Salamanca,36887,2020,1,9066.79
Guanajuato,Salamanca,36885,2020,16,9452.25
Guanajuato,Salamanca,36883,2020,1,8543.76
Guanajuato,Salamanca,36877,2020,1,12610.97
Guanajuato,Salamanca,36875,2020,1,11820.1
Guanajuato,Salamanca,36870,2020,1,10725.68
Guanajuato,Salamanca,36863,2020,3,14939.65
Guanajuato,Salamanca,36860,2020,1,5346.28
Guanajuato,Salamanca,36793,2020,7,8699
Guanajuato,Salamanca,36790,2020,19,7995.06
Guanajuato,Salamanca,36787,2020,1,7329.21
Guanajuato,Salamanca,36786,2020,5,8542.84
Guanajuato,Salamanca,36784,2020,3,7195.22
Guanajuato,Salamanca,36783,2020,21,9241.11
Guanajuato,Salamanca,36782,2020,1,12016.21
Guanajuato,Salamanca,36780,2020,9,7888.45
Guanajuato,Salamanca,36778,2020,16,9250.18
Guanajuato,Salamanca,36777,2020,1,8233.83
Guanajuato,Salamanca,36775,2020,24,8553.14
Guanajuato,Salamanca,36774,2020,6,8024.9
Guanajuato,Salamanca,36773,2020,6,6930.25
Guanajuato,Salamanca,36770,2020,2,7862.96
Guanajuato,Salamanca,36766,2020,247,9619.85
Guanajuato,Salamanca,36765,2020,19,9178.43
Guanajuato,Salamanca,36764,2020,18,11330.05
Guanajuato,Salamanca,36760,2020,8,8958.31
Guanajuato,Salamanca,36759,2020,1,7591.67
Guanajuato,Salamanca,36753,2020,3,7739.01
Guanajuato,Salamanca,36750,2020,6,7819.78
Guanajuato,Salamanca,36748,2020,4,6950.82
Guanajuato,Salamanca,36744,2020,10,12345.85
Guanajuato,Salamanca,36743,2020,5,10681.38
Guanajuato,Salamanca,36740,2020,7,9550.9
Guanajuato,Salamanca,36732,2020,1,10283.23
Guanajuato,Salamanca,36730,2020,13,9767.61
Guanajuato,Salamanca,36724,2020,6,12513.71
Guanajuato,Salamanca,36723,2020,24,14319.85
Guanajuato,Salamanca,36722,2020,2,7896.52
Guanajuato,Salamanca,36720,2020,21,9073.3
Guanajuato,Salamanca,36717,2020,1,13433.1
Guanajuato,Salamanca,36710,2020,2,10517.59
Guanajuato,Salamanca,36700,2020,4,9370.61
Guanajuato,Salamanca,36887,2019,1,8700.11
Guanajuato,Salamanca,36885,2019,88,7926.23
Guanajuato,Salamanca,36883,2019,9,7389.92
Guanajuato,Salamanca,36875,2019,1,9863.98
Guanajuato,Salamanca,36874,2019,1,10181.82
Guanajuato,Salamanca,36873,2019,1,5125.84
Guanajuato,Salamanca,36870,2019,2,11484.31
Guanajuato,Salamanca,36867,2019,2,6101.25
Guanajuato,Salamanca,36864,2019,8,8532.36
Guanajuato,Salamanca,36863,2019,1,12836.27
Guanajuato,Salamanca,36855,2019,2,9351.62
Guanajuato,Salamanca,36793,2019,12,7404.18
Guanajuato,Salamanca,36790,2019,62,7891.95
Guanajuato,Salamanca,36787,2019,3,7283.74
Guanajuato,Salamanca,36786,2019,9,9267.31
Guanajuato,Salamanca,36784,2019,11,9536.76
Guanajuato,Salamanca,36783,2019,29,8854.42
Guanajuato,Salamanca,36782,2019,1,10474.24
Guanajuato,Salamanca,36780,2019,24,7141.06
Guanajuato,Salamanca,36778,2019,60,9143.56
Guanajuato,Salamanca,36777,2019,1,8041.45
Guanajuato,Salamanca,36776,2019,6,7146.1
Guanajuato,Salamanca,36775,2019,46,8097.53
Guanajuato,Salamanca,36774,2019,11,8013.79
Guanajuato,Salamanca,36773,2019,14,7244.41
Guanajuato,Salamanca,36772,2019,2,5852.13
Guanajuato,Salamanca,36770,2019,10,6490.39
Guanajuato,Salamanca,36766,2019,549,9279.82
Guanajuato,Salamanca,36765,2019,82,9379.25
Guanajuato,Salamanca,36764,2019,77,11262.19
Guanajuato,Salamanca,36760,2019,21,7099.75
Guanajuato,Salamanca,36754,2019,2,5595.85
Guanajuato,Salamanca,36753,2019,9,6606.61
Guanajuato,Salamanca,36752,2019,3,6946.32
Guanajuato,Salamanca,36750,2019,11,6618.04
Guanajuato,Salamanca,36748,2019,5,7625.68
Guanajuato,Salamanca,36747,2019,1,5175.87
Guanajuato,Salamanca,36744,2019,33,11951.68
Guanajuato,Salamanca,36743,2019,22,10255.03
Guanajuato,Salamanca,36740,2019,21,8652.41
Guanajuato,Salamanca,36732,2019,1,14202.63
Guanajuato,Salamanca,36730,2019,36,9697.93
Guanajuato,Salamanca,36724,2019,12,9611.7
Guanajuato,Salamanca,36723,2019,48,13182.49
Guanajuato,Salamanca,36722,2019,3,5686.46
Guanajuato,Salamanca,36720,2019,71,8206.6
Guanajuato,Salamanca,36717,2019,1,12428.15
Guanajuato,Salamanca,36716,2019,1,11171.84
Guanajuato,Salamanca,36714,2019,2,5449.24
Guanajuato,Salamanca,36704,2019,1,8338.42
Guanajuato,Salamanca,36700,2019,23,7628.45
Guanajuato,Salamanca,36885,2018,16,7587
Guanajuato,Salamanca,36883,2018,3,8864.85
Guanajuato,Salamanca,36878,2018,1,8494.63
Guanajuato,Salamanca,36864,2018,2,9400.63
Guanajuato,Salamanca,36856,2018,1,10235.02
Guanajuato,Salamanca,36793,2018,14,7188.33
Guanajuato,Salamanca,36790,2018,30,7018.25
Guanajuato,Salamanca,36787,2018,1,6120
Guanajuato,Salamanca,36786,2018,4,7560.92
Guanajuato,Salamanca,36784,2018,7,8215.34
Guanajuato,Salamanca,36783,2018,22,8891.71
Guanajuato,Salamanca,36782,2018,1,9548.93
Guanajuato,Salamanca,36780,2018,11,6924.58
Guanajuato,Salamanca,36778,2018,64,7539.99
Guanajuato,Salamanca,36776,2018,1,5011.1
Guanajuato,Salamanca,36775,2018,49,7820.48
Guanajuato,Salamanca,36774,2018,11,7239.39
Guanajuato,Salamanca,36773,2018,16,7880.24
Guanajuato,Salamanca,36770,2018,5,6572.26
