CP,Entidad,Alcaldia,P_NIVSOCEC,Sum_Servicios,Num_Celulares,Num_Autos,Empresas,Empleos
44360,Jalisco,San Pedro Tlaquepaque,121.35,855,263,30,6522,26230
44100,Jalisco,San Pedro Tlaquepaque,130.55,1037,347,25,5564,41704
44200,Jalisco,San Pedro Tlaquepaque,139.48,932,373,48,4803,32203
36700,Guanajuato,Salamanca,114.95,275,123,130,3092,12628
44730,Jalisco,San Pedro Tlaquepaque,120.88,471,229,71,2996,14553
55710,México,Coacalco de Berrizabal,149.04,442,183,53,2801,13844
72760,Puebla,Cuautlancingo,94.74,299,72,346,2579,11880
44700,Jalisco,San Pedro Tlaquepaque,114.44,445,115,6,2556,9539
44600,Jalisco,San Pedro Tlaquepaque,159.08,498,234,30,2470,25623
44970,Jalisco,San Pedro Tlaquepaque,114.58,239,108,19,2361,10501
44960,Jalisco,San Pedro Tlaquepaque,116.97,298,116,6,2141,9428
44720,Jalisco,San Pedro Tlaquepaque,108.33,316,112,42,1988,6547
44260,Jalisco,San Pedro Tlaquepaque,141.04,250,200,108,1842,15572
44820,Jalisco,San Pedro Tlaquepaque,113.19,167,153,27,1830,6569
44810,Jalisco,San Pedro Tlaquepaque,131.17,298,123,91,1764,9410
56390,México,Chicoloapan de Juárez,74.66,185,84,20,1643,6320
44300,Jalisco,San Pedro Tlaquepaque,125.24,224,124,136,1613,9245
44800,Jalisco,San Pedro Tlaquepaque,118.04,131,63,70,1560,5773
44950,Jalisco,San Pedro Tlaquepaque,160.17,267,154,35,1535,8625
72700,Puebla,Cuautlancingo,97.69,201,59,661,1522,7068
44460,Jalisco,San Pedro Tlaquepaque,124.78,156,174,93,1429,15880
44530,Jalisco,San Pedro Tlaquepaque,166.66,123,114,115,1426,14044
44900,Jalisco,San Pedro Tlaquepaque,121.91,197,141,103,1397,12767
44770,Jalisco,San Pedro Tlaquepaque,111.59,201,69,111,1340,5122
72710,Puebla,Cuautlancingo,81.12,180,175,1148,1249,17048
44860,Jalisco,San Pedro Tlaquepaque,155.5,247,114,80,1222,6255
56370,México,Chicoloapan de Juárez,60.05,176,79,106,1217,5030
44250,Jalisco,San Pedro Tlaquepaque,112.94,182,101,99,1203,5922
44330,Jalisco,San Pedro Tlaquepaque,120.25,198,98,84,1187,4546
44240,Jalisco,San Pedro Tlaquepaque,126.56,381,99,141,1172,6236
55717,México,Coacalco de Berrizabal,122.22,165,177,106,1169,8520
44270,Jalisco,San Pedro Tlaquepaque,159.12,314,118,148,1144,8152
44150,Jalisco,San Pedro Tlaquepaque,183.13,201,178,22,1142,17355
44400,Jalisco,San Pedro Tlaquepaque,130.21,191,108,69,1081,4910
44840,Jalisco,San Pedro Tlaquepaque,139.52,224,160,118,1069,11500
44690,Jalisco,San Pedro Tlaquepaque,184.28,363,97,97,1059,12042
44987,Jalisco,San Pedro Tlaquepaque,119.58,122,76,34,1029,4925
56377,México,Chicoloapan de Juárez,75.08,123,54,124,1022,4517
44750,Jalisco,San Pedro Tlaquepaque,122.07,206,50,3,1013,3933
44440,Jalisco,San Pedro Tlaquepaque,116.19,129,205,4,1010,14954
44980,Jalisco,San Pedro Tlaquepaque,109.09,150,60,15,1008,4788
72767,Puebla,Cuautlancingo,54.36,61,7,5,1007,3598
44790,Jalisco,San Pedro Tlaquepaque,117.37,164,58,55,1006,3539
44740,Jalisco,San Pedro Tlaquepaque,111.73,55,29,119,1003,3818
44190,Jalisco,San Pedro Tlaquepaque,155.36,213,224,9,972,19593
55719,México,Coacalco de Berrizabal,113.61,167,65,79,969,4170
55712,México,Coacalco de Berrizabal,122.12,172,65,21,965,4868
72730,Puebla,Cuautlancingo,82.18,103,62,1070,953,12164
55700,México,Coacalco de Berrizabal,124.84,327,90,72,952,7298
44870,Jalisco,San Pedro Tlaquepaque,129.83,284,116,5,902,10542
72766,Puebla,Cuautlancingo,48.64,31,11,7,893,2789
44670,Jalisco,San Pedro Tlaquepaque,191.91,191,130,65,892,7875
44220,Jalisco,San Pedro Tlaquepaque,145.96,219,103,121,886,5086
44320,Jalisco,San Pedro Tlaquepaque,151.51,193,63,95,885,3982
72775,Puebla,Cuautlancingo,119.91,127,86,180,880,4876
56376,México,Chicoloapan de Juárez,70.86,69,21,123,839,2532
44910,Jalisco,San Pedro Tlaquepaque,133,248,158,52,838,8868
44549,Jalisco,San Pedro Tlaquepaque,167.85,322,46,49,837,6385
55714,México,Coacalco de Berrizabal,113.59,358,63,8,825,4176
72770,Puebla,Cuautlancingo,110.96,183,55,729,815,5240
44170,Jalisco,San Pedro Tlaquepaque,154.55,99,83,128,795,7368
44520,Jalisco,San Pedro Tlaquepaque,181.83,126,195,115,760,14218
44650,Jalisco,San Pedro Tlaquepaque,185.73,384,93,49,758,12736
72750,Puebla,Cuautlancingo,60.2,34,15,88,754,2473
44130,Jalisco,San Pedro Tlaquepaque,178.4,53,115,53,736,9071
44450,Jalisco,San Pedro Tlaquepaque,126.17,137,65,51,736,4846
56386,México,Chicoloapan de Juárez,98.92,68,51,37,721,2480
36780,Guanajuato,Salamanca,101.1,75,20,28,715,3355
44230,Jalisco,San Pedro Tlaquepaque,129.07,153,31,139,706,3233
44430,Jalisco,San Pedro Tlaquepaque,152.39,80,77,127,703,4419
44350,Jalisco,San Pedro Tlaquepaque,126.8,107,75,30,687,2940
44410,Jalisco,San Pedro Tlaquepaque,124.83,77,67,62,674,2965
36740,Guanajuato,Salamanca,125.18,287,52,28,664,3427
56383,México,Chicoloapan de Juárez,99.2,87,38,34,653,2548
56373,México,Chicoloapan de Juárez,86.27,102,50,25,629,2471
55718,México,Coacalco de Berrizabal,112.23,48,59,112,624,3866
44990,Jalisco,San Pedro Tlaquepaque,118.64,130,50,81,610,3181
44940,Jalisco,San Pedro Tlaquepaque,116.16,152,186,133,605,27169
72762,Puebla,Cuautlancingo,118.68,61,29,30,599,2177
44719,Jalisco,San Pedro Tlaquepaque,120.02,112,38,108,593,2638
44470,Jalisco,San Pedro Tlaquepaque,123.67,85,135,127,590,8298
44160,Jalisco,San Pedro Tlaquepaque,162.07,39,92,9,582,6247
36730,Guanajuato,Salamanca,170.05,185,47,116,580,3934
44290,Jalisco,San Pedro Tlaquepaque,165.99,161,54,140,579,3318
44829,Jalisco,San Pedro Tlaquepaque,121.74,36,14,23,578,1936
44630,Jalisco,San Pedro Tlaquepaque,192.07,152,74,147,576,10337
44380,Jalisco,San Pedro Tlaquepaque,120.47,78,43,15,575,3262
44180,Jalisco,San Pedro Tlaquepaque,137.36,85,73,20,565,6495
72765,Puebla,Cuautlancingo,83.44,52,13,21,555,2074
36883,Guanajuato,Salamanca,74.51,79,57,68,539,2257
44340,Jalisco,San Pedro Tlaquepaque,174.31,199,105,12,532,4395
44500,Jalisco,San Pedro Tlaquepaque,189.43,105,175,113,523,8464
55720,México,Coacalco de Berrizabal,148.29,88,13,29,505,2325
44710,Jalisco,San Pedro Tlaquepaque,114.6,31,34,110,497,2527
44920,Jalisco,San Pedro Tlaquepaque,136.81,79,67,87,494,2230
72760,Puebla,Cuautlancingo,94.74,40,21,137,493,1820
44760,Jalisco,San Pedro Tlaquepaque,122.28,172,25,122,486,2140
44280,Jalisco,San Pedro Tlaquepaque,134.37,177,44,135,477,3056
36790,Guanajuato,Salamanca,117.46,53,12,41,450,1847
44890,Jalisco,San Pedro Tlaquepaque,139.63,49,44,21,446,3283
36793,Guanajuato,Salamanca,111.12,75,27,76,420,2177
56380,México,Chicoloapan de Juárez,96.26,35,23,133,419,1427
44390,Jalisco,San Pedro Tlaquepaque,119.76,89,79,134,390,2758
72764,Puebla,Cuautlancingo,150.83,50,21,27,387,1394
44647,Jalisco,San Pedro Tlaquepaque,196.1,91,60,70,365,4627
44620,Jalisco,San Pedro Tlaquepaque,183.33,40,71,125,357,4055
44469,Jalisco,San Pedro Tlaquepaque,123.74,0,25,63,346,1357
44580,Jalisco,San Pedro Tlaquepaque,147.56,40,11,83,342,2027
44329,Jalisco,San Pedro Tlaquepaque,121.71,47,52,103,320,1630
44716,Jalisco,San Pedro Tlaquepaque,159.15,90,61,46,319,3925
72757,Puebla,Cuautlancingo,116.07,18,13,7,279,1881
44298,Jalisco,San Pedro Tlaquepaque,180.29,48,40,18,276,1893
44610,Jalisco,San Pedro Tlaquepaque,198.97,107,105,58,272,5997
72750,Puebla,Cuautlancingo,60.2,25,10,28,269,850
44919,Jalisco,San Pedro Tlaquepaque,142.85,26,32,4,267,1675
44930,Jalisco,San Pedro Tlaquepaque,156.59,71,19,116,264,1315
56375,México,Chicoloapan de Juárez,123.47,6,13,49,260,1109
55726,México,Coacalco de Berrizabal,119.46,34,8,140,256,839
44737,Jalisco,San Pedro Tlaquepaque,115.08,24,21,62,254,1050
36885,Guanajuato,Salamanca,78.59,14,105,105,253,2879
44490,Jalisco,San Pedro Tlaquepaque,150.91,33,70,62,252,5155
36720,Guanajuato,Salamanca,153.13,54,40,123,252,2845
44948,Jalisco,San Pedro Tlaquepaque,122.73,37,18,59,242,1409
72705,Puebla,Cuautlancingo,97.52,20,35,1650,239,1312
44210,Jalisco,San Pedro Tlaquepaque,187.53,113,84,129,236,2388
44370,Jalisco,San Pedro Tlaquepaque,141.84,0,18,110,234,1484
36749,Guanajuato,Salamanca,109.07,76,25,117,233,1815
44969,Jalisco,San Pedro Tlaquepaque,98.88,19,7,49,231,1140
44259,Jalisco,San Pedro Tlaquepaque,132.88,50,27,7,226,1207
44680,Jalisco,San Pedro Tlaquepaque,188.32,0,36,145,222,1571
72770,Puebla,Cuautlancingo,110.96,20,9,26,221,703
55739,México,Coacalco de Berrizabal,91.63,34,1,98,218,1208
44967,Jalisco,San Pedro Tlaquepaque,103.01,0,13,129,214,723
44648,Jalisco,San Pedro Tlaquepaque,196.87,2,21,47,213,4116
44760,Jalisco,San Pedro Tlaquepaque,122.28,64,16,34,212,990
44727,Jalisco,San Pedro Tlaquepaque,110.46,49,19,141,210,927
44768,Jalisco,San Pedro Tlaquepaque,128.64,35,11,97,210,1002
44550,Jalisco,San Pedro Tlaquepaque,185.37,29,89,131,208,5664
55730,México,Coacalco de Berrizabal,132.99,109,17,38,206,992
44689,Jalisco,San Pedro Tlaquepaque,193.28,29,25,84,205,2298
