CP,Entidad,Alcaldia,P_NIVSOCEC,Sum_Servicios
44360,Jalisco,San Pedro Tlaquepaque,121.35,855
44100,Jalisco,San Pedro Tlaquepaque,130.55,1037
44200,Jalisco,San Pedro Tlaquepaque,139.48,932
36700,Guanajuato,Salamanca,114.95,275
44730,Jalisco,San Pedro Tlaquepaque,120.88,471
55710,México,Coacalco de Berrizabal,149.04,442
72760,Puebla,Cuautlancingo,94.74,299
44700,Jalisco,San Pedro Tlaquepaque,114.44,445
44600,Jalisco,San Pedro Tlaquepaque,159.08,498
44970,Jalisco,San Pedro Tlaquepaque,114.58,239
44960,Jalisco,San Pedro Tlaquepaque,116.97,298
44720,Jalisco,San Pedro Tlaquepaque,108.33,316
44260,Jalisco,San Pedro Tlaquepaque,141.04,250
44820,Jalisco,San Pedro Tlaquepaque,113.19,167
44810,Jalisco,San Pedro Tlaquepaque,131.17,298
56390,México,Chicoloapan de Juárez,74.66,185
44300,Jalisco,San Pedro Tlaquepaque,125.24,224
44800,Jalisco,San Pedro Tlaquepaque,118.04,131
44950,Jalisco,San Pedro Tlaquepaque,160.17,267
72700,Puebla,Cuautlancingo,97.69,201
44460,Jalisco,San Pedro Tlaquepaque,124.78,156
44530,Jalisco,San Pedro Tlaquepaque,166.66,123
44900,Jalisco,San Pedro Tlaquepaque,121.91,197
44770,Jalisco,San Pedro Tlaquepaque,111.59,201
72710,Puebla,Cuautlancingo,81.12,180
44860,Jalisco,San Pedro Tlaquepaque,155.5,247
56370,México,Chicoloapan de Juárez,60.05,176
44250,Jalisco,San Pedro Tlaquepaque,112.94,182
44330,Jalisco,San Pedro Tlaquepaque,120.25,198
44240,Jalisco,San Pedro Tlaquepaque,126.56,381
55717,México,Coacalco de Berrizabal,122.22,165
44270,Jalisco,San Pedro Tlaquepaque,159.12,314
44150,Jalisco,San Pedro Tlaquepaque,183.13,201
44400,Jalisco,San Pedro Tlaquepaque,130.21,191
44840,Jalisco,San Pedro Tlaquepaque,139.52,224
44690,Jalisco,San Pedro Tlaquepaque,184.28,363
44987,Jalisco,San Pedro Tlaquepaque,119.58,122
56377,México,Chicoloapan de Juárez,75.08,123
44750,Jalisco,San Pedro Tlaquepaque,122.07,206
44440,Jalisco,San Pedro Tlaquepaque,116.19,129
44980,Jalisco,San Pedro Tlaquepaque,109.09,150
72767,Puebla,Cuautlancingo,54.36,61
44790,Jalisco,San Pedro Tlaquepaque,117.37,164
44740,Jalisco,San Pedro Tlaquepaque,111.73,55
44190,Jalisco,San Pedro Tlaquepaque,155.36,213
55719,México,Coacalco de Berrizabal,113.61,167
55712,México,Coacalco de Berrizabal,122.12,172
72730,Puebla,Cuautlancingo,82.18,103
55700,México,Coacalco de Berrizabal,124.84,327
44870,Jalisco,San Pedro Tlaquepaque,129.83,284
72766,Puebla,Cuautlancingo,48.64,31
44670,Jalisco,San Pedro Tlaquepaque,191.91,191
44220,Jalisco,San Pedro Tlaquepaque,145.96,219
44320,Jalisco,San Pedro Tlaquepaque,151.51,193
72775,Puebla,Cuautlancingo,119.91,127
56376,México,Chicoloapan de Juárez,70.86,69
44910,Jalisco,San Pedro Tlaquepaque,133,248
44549,Jalisco,San Pedro Tlaquepaque,167.85,322
55714,México,Coacalco de Berrizabal,113.59,358
72770,Puebla,Cuautlancingo,110.96,183
44170,Jalisco,San Pedro Tlaquepaque,154.55,99
44520,Jalisco,San Pedro Tlaquepaque,181.83,126
44650,Jalisco,San Pedro Tlaquepaque,185.73,384
72750,Puebla,Cuautlancingo,60.2,34
44130,Jalisco,San Pedro Tlaquepaque,178.4,53
44450,Jalisco,San Pedro Tlaquepaque,126.17,137
56386,México,Chicoloapan de Juárez,98.92,68
36780,Guanajuato,Salamanca,101.1,75
44230,Jalisco,San Pedro Tlaquepaque,129.07,153
44430,Jalisco,San Pedro Tlaquepaque,152.39,80
44350,Jalisco,San Pedro Tlaquepaque,126.8,107
44410,Jalisco,San Pedro Tlaquepaque,124.83,77
36740,Guanajuato,Salamanca,125.18,287
56383,México,Chicoloapan de Juárez,99.2,87
56373,México,Chicoloapan de Juárez,86.27,102
55718,México,Coacalco de Berrizabal,112.23,48
44990,Jalisco,San Pedro Tlaquepaque,118.64,130
44940,Jalisco,San Pedro Tlaquepaque,116.16,152
72762,Puebla,Cuautlancingo,118.68,61
44719,Jalisco,San Pedro Tlaquepaque,120.02,112
44470,Jalisco,San Pedro Tlaquepaque,123.67,85
44160,Jalisco,San Pedro Tlaquepaque,162.07,39
36730,Guanajuato,Salamanca,170.05,185
44290,Jalisco,San Pedro Tlaquepaque,165.99,161
44829,Jalisco,San Pedro Tlaquepaque,121.74,36
44630,Jalisco,San Pedro Tlaquepaque,192.07,152
44380,Jalisco,San Pedro Tlaquepaque,120.47,78
44180,Jalisco,San Pedro Tlaquepaque,137.36,85
72765,Puebla,Cuautlancingo,83.44,52
36883,Guanajuato,Salamanca,74.51,79
44340,Jalisco,San Pedro Tlaquepaque,174.31,199
44500,Jalisco,San Pedro Tlaquepaque,189.43,105
55720,México,Coacalco de Berrizabal,148.29,88
44710,Jalisco,San Pedro Tlaquepaque,114.6,31
44920,Jalisco,San Pedro Tlaquepaque,136.81,79
72760,Puebla,Cuautlancingo,94.74,40
44760,Jalisco,San Pedro Tlaquepaque,122.28,172
44280,Jalisco,San Pedro Tlaquepaque,134.37,177
36790,Guanajuato,Salamanca,117.46,53
44890,Jalisco,San Pedro Tlaquepaque,139.63,49
36793,Guanajuato,Salamanca,111.12,75
56380,México,Chicoloapan de Juárez,96.26,35
44390,Jalisco,San Pedro Tlaquepaque,119.76,89
72764,Puebla,Cuautlancingo,150.83,50
44647,Jalisco,San Pedro Tlaquepaque,196.1,91
44620,Jalisco,San Pedro Tlaquepaque,183.33,40
44469,Jalisco,San Pedro Tlaquepaque,123.74,0
44580,Jalisco,San Pedro Tlaquepaque,147.56,40
44329,Jalisco,San Pedro Tlaquepaque,121.71,47
44716,Jalisco,San Pedro Tlaquepaque,159.15,90
72757,Puebla,Cuautlancingo,116.07,18
44298,Jalisco,San Pedro Tlaquepaque,180.29,48
44610,Jalisco,San Pedro Tlaquepaque,198.97,107
72750,Puebla,Cuautlancingo,60.2,25
